reason_start,reason_end,reason_id
appload,appload,1
appload,backbtn,2
appload,endplay,3
appload,fwdbtn,4
appload,logout,5
appload,popup,6
appload,remote,7
appload,trackdone,8
appload,unexpected-exit,9
appload,unexpected-exit-while-paused,10
appload,unknown,11
autoplay,clickrow,12
backbtn,backbtn,13
backbtn,clickrow,14
backbtn,endplay,15
backbtn,fwdbtn,16
backbtn,logout,17
backbtn,remote,18
backbtn,trackdone,19
backbtn,unexpected-exit-while-paused,20
backbtn,unknown,21
clickrow,backbtn,22
clickrow,clickrow,23
clickrow,endplay,24
clickrow,fwdbtn,25
clickrow,logout,26
clickrow,nextbtn,27
clickrow,remote,28
clickrow,trackdone,29
clickrow,unexpected-exit,30
clickrow,unexpected-exit-while-paused,31
clickrow,unknown,32
endplay,trackdone,33
fwdbtn,appload,34
fwdbtn,backbtn,35
fwdbtn,endplay,36
fwdbtn,fwdbtn,37
fwdbtn,logout,38
fwdbtn,remote,39
fwdbtn,trackdone,40
fwdbtn,unexpected-exit,41
fwdbtn,unexpected-exit-while-paused,42
fwdbtn,unknown,43
nextbtn,clickrow,44
nextbtn,nextbtn,45
nextbtn,reload,46
nextbtn,unknown,47
playbtn,backbtn,48
playbtn,endplay,49
playbtn,fwdbtn,50
playbtn,logout,51
playbtn,remote,52
playbtn,trackdone,53
playbtn,unexpected-exit-while-paused,54
playbtn,unknown,55
popup,endplay,56
popup,popup,57
remote,endplay,58
remote,fwdbtn,59
remote,logout,60
remote,remote,61
remote,trackdone,62
remote,unexpected-exit,63
remote,unexpected-exit-while-paused,64
remote,unknown,65
trackdone,appload,66
trackdone,backbtn,67
trackdone,clickrow,68
trackdone,endplay,69
trackdone,fwdbtn,70
trackdone,logout,71
trackdone,nextbtn,72
trackdone,reload,73
trackdone,remote,74
trackdone,trackdone,75
trackdone,unexpected-exit,76
trackdone,unexpected-exit-while-paused,77
trackdone,unknown,78
trackerror,endplay,79
trackerror,fwdbtn,80
trackerror,logout,81
trackerror,trackdone,82
trackerror,unexpected-exit-while-paused,83
unknown,endplay,84
unknown,fwdbtn,85
unknown,popup,86
unknown,trackdone,87
unknown,unknown,88
